id,status,start_time,away_team_id,home_team_id,winning_team_id,league_name,season,attendance,boxscore.total_away_points,boxscore.total_home_points,boxscore.total_away_firsthalf_points,boxscore.total_home_firsthalf_points,boxscore.total_away_secondhalf_points,boxscore.total_home_secondhalf_points,game_id,ml_away,ml_home,spread_away,spread_home,spread_away_line,spread_home_line,over,under,draw,total,away_total,away_over,away_under,home_total,home_over,home_under,ml_home_public,ml_away_public,spread_home_public,spread_away_public,total_under_public,total_over_public,ml_home_money,ml_away_money,spread_home_money,spread_away_money,total_over_money,total_under_money,num_bets,book_id,type,inserted,home_team,away_team,date_scraped
175240,complete,2023-01-04T20:00:00.000Z,1112,1103,1112.0,epl,2022,0,4.0,0.0,0.0,0.0,4.0,0.0,175240,120.0,230.0,-0.5,0.5,115.0,-160.0,-105.0,-115.0,240.0,2.5,1.5,115.0,-150.0,1.5,175.0,-250.0,,,,,45.0,55.0,,,,,44.0,56.0,5779.0,15,game,2023-01-04T21:52:18.493971+00:00,Crystal Palace FC,Tottenham Hotspur FC,2023-02-20 02:01:45.718540
175243,complete,2023-01-04T20:00:00.000Z,1968,1999,,epl,2022,0,1.0,1.0,1.0,0.0,0.0,1.0,175243,310.0,-110.0,0.5,-0.5,-120.0,-115.0,116.0,-142.0,240.0,2.5,0.5,-185.0,135.0,1.5,110.0,-145.0,98.0,2.0,50.0,50.0,71.0,29.0,,,,,8.0,92.0,3954.0,15,game,2023-01-04T21:53:26.636856+00:00,Aston Villa FC,Wolverhampton Wanderers,2023-02-20 02:01:45.718540
175241,complete,2023-01-05T20:00:00.000Z,1108,1102,1108.0,epl,2022,0,1.0,0.0,0.0,0.0,1.0,0.0,175241,-152.0,410.0,-0.5,0.5,-170.0,125.0,-135.0,105.0,300.0,2.5,1.0,-294.0,217.0,0.5,-200.0,145.0,,,,,56.0,44.0,,,,,42.0,58.0,9936.0,15,game,2023-01-05T21:53:57.210553+00:00,Chelsea FC,Manchester City FC,2023-02-20 02:01:49.916639
180679,complete,2023-01-06T17:30:00.000Z,1162,2112,1162.0,laliga,2022,20121,1.0,0.0,1.0,0.0,0.0,0.0,180679,107.0,280.0,-0.5,0.5,102.0,-140.0,144.0,-185.0,210.0,2.5,0.5,-370.0,260.0,0.5,-177.0,132.0,,,,,80.0,20.0,,,,,,,1520.0,15,game,2023-01-06T19:26:39.610784+00:00,Elche CF,RC Celta de Vigo,2023-02-20 02:01:54.192452
180680,complete,2023-01-06T20:00:00.000Z,2076,1175,2076.0,laliga,2022,39703,1.0,0.0,1.0,0.0,0.0,0.0,180680,450.0,-187.0,0.5,-0.5,127.0,-190.0,-110.0,-125.0,297.0,2.5,0.5,-155.0,112.0,1.0,-281.0,185.0,,,,,,,,,,,,,0.0,15,game,2022-12-23T23:06:08.694597+00:00,Valencia CF,Cadiz,2023-02-20 02:01:54.192452
175440,complete,2023-01-07T14:00:00.000Z,1194,1183,1183.0,seriea,2022,0,1.0,2.0,0.0,0.0,1.0,2.0,175440,325.0,-132.0,0.5,-0.5,-105.0,-135.0,-162.0,125.0,280.0,2.5,1.0,-122.0,-110.0,1.0,-285.0,202.0,,,,,50.0,50.0,,,,,96.0,4.0,1064.0,15,game,2023-01-07T14:04:33.377108+00:00,ACF Fiorentina,US Sassuolo Calcio,2023-02-20 02:01:59.656991
180665,complete,2023-01-07T15:15:00.000Z,1172,1176,1176.0,laliga,2022,0,1.0,2.0,0.0,0.0,1.0,2.0,180665,105.0,242.0,-0.5,0.5,-105.0,-135.0,-140.0,110.0,257.0,2.5,0.5,-650.0,400.0,0.5,-320.0,230.0,,,,,33.0,67.0,,,,,,,3041.0,15,game,2023-01-07T17:12:39.243363+00:00,Villarreal CF,Real Madrid CF,2023-02-20 02:01:59.656991
175438,complete,2023-01-07T17:00:00.000Z,1196,1186,1186.0,seriea,2022,0,0.0,1.0,0.0,0.0,0.0,1.0,175438,405.0,-145.0,0.5,-0.5,107.0,-150.0,105.0,-129.0,260.0,2.5,0.5,-165.0,130.0,0.5,-650.0,400.0,,,,,71.0,29.0,,,,,23.0,77.0,2991.0,15,game,2023-01-07T18:58:54.730398+00:00,Juventus Turin,Udinese Calcio,2023-02-20 02:01:59.656991
180677,complete,2023-01-07T17:30:00.000Z,1975,2028,2028.0,laliga,2022,0,0.0,1.0,0.0,0.0,0.0,1.0,180677,320.0,-100.0,0.5,-0.5,-132.0,-105.0,-190.0,150.0,207.0,1.5,0.5,-147.0,110.0,1.0,-147.0,109.0,,,,,50.0,50.0,,,,,,,1267.0,15,game,2023-01-07T17:30:24.160138+00:00,RCD Mallorca,Real Valladolid,2023-02-20 02:01:59.656991
175435,complete,2023-01-07T19:45:00.000Z,1185,3396,,seriea,2022,0,2.0,2.0,2.0,1.0,0.0,1.0,175435,-180.0,475.0,-0.5,0.5,-190.0,137.0,-128.0,104.0,310.0,2.5,1.5,-160.0,115.0,0.5,-180.0,135.0,,,,,,,,,,,,,2027.0,15,game,2023-01-07T21:49:34.412197+00:00,Monza,FC Internazionale Milano,2023-02-20 02:01:59.656991
180678,complete,2023-01-07T20:00:00.000Z,1373,1165,,laliga,2022,0,2.0,2.0,1.0,0.0,1.0,2.0,180678,180.0,160.0,0.5,-0.5,-210.0,145.0,120.0,-151.0,210.0,2.5,1.0,-123.0,-108.0,1.0,-136.0,101.0,50.0,50.0,,,50.0,50.0,,,,,,,1571.0,15,game,2023-01-07T20:03:06.67566+00:00,RCD Espanyol,Girona FC,2023-02-20 02:01:59.656991
